prefecture,plate_name
北海道,札幌
北海道,函館
北海道,旭川
北海道,室蘭
北海道,苫小牧
北海道,釧路
北海道,知床
北海道,帯広
北海道,北見
青森県,青森
青森県,弘前
青森県,八戸
岩手県,岩手
岩手県,盛岡
岩手県,平泉
宮城県,宮城
宮城県,仙台
秋田県,秋田
山形県,山形
山形県,庄内
福島県,福島
福島県,会津
福島県,郡山
福島県,白河
福島県,いわき
茨城県,水戸
茨城県,土浦
茨城県,つくば
栃木県,宇都宮
栃木県,那須
栃木県,とちぎ
群馬県,群馬
群馬県,前橋
群馬県,高崎
埼玉県,大宮
埼玉県,川口
埼玉県,所沢
埼玉県,川越
埼玉県,熊谷
埼玉県,春日部
埼玉県,越谷
千葉県,千葉
千葉県,成田
千葉県,習志野
千葉県,市川
千葉県,船橋
千葉県,袖ヶ浦
千葉県,市原
千葉県,野田
千葉県,柏
千葉県,松戸
東京都,品川
東京都,世田谷
東京都,練馬
東京都,杉並
東京都,板橋
東京都,足立
東京都,江東
東京都,葛飾
東京都,八王子
東京都,多摩
神奈川県,横浜
神奈川県,川崎
神奈川県,湘南
神奈川県,相模
山梨県,山梨
山梨県,富士山
新潟県,新潟
新潟県,長岡
新潟県,上越
長野県,長野
長野県,松本
長野県,諏訪
富山県,富山
石川県,石川
石川県,金沢
福井県,福井
岐阜県,岐阜
岐阜県,飛騨
静岡県,静岡
静岡県,浜松
静岡県,沼津
静岡県,伊豆
静岡県,富士山
愛知県,名古屋
愛知県,豊橋
愛知県,三河
愛知県,岡崎
愛知県,豊田
愛知県,尾張小牧
愛知県,一宮
愛知県,春日井
三重県,三重
三重県,鈴鹿
三重県,四日市
三重県,伊勢志摩
滋賀県,滋賀
京都府,京都
大阪府,なにわ
大阪府,大阪
大阪府,和泉
大阪府,堺
奈良県,奈良
奈良県,飛鳥
和歌山県,和歌山
兵庫県,神戸
兵庫県,姫路
鳥取県,鳥取
島根県,島根
島根県,出雲
岡山県,岡山
岡山県,倉敷
広島県,広島
広島県,福山
山口県,山口
山口県,下関
徳島県,徳島
香川県,香川
香川県,高松
愛媛県,愛媛
高知県,高知
福岡県,福岡
福岡県,北九州
福岡県,久留米
福岡県,筑豊
佐賀県,佐賀
長崎県,長崎
長崎県,佐世保
熊本県,熊本
大分県,大分
宮崎県,宮崎
鹿児島県,鹿児島
鹿児島県,奄美
沖縄県,沖縄
